date,description,amount
2016-10-03,Prlv De Engie,-22.66
2019-05-10,Prlv De Suez Eau France,-22.568
2016-06-02,"Prlv De Engie, Ex Gdfsuez",-22.44
2019-01-10,Prlv De Suez Eau France,-22.351
2019-06-10,Prlv De Suez Eau France,-21.84
2018-10-10,Prlv De Suez Eau France,-21.63
2018-04-10,Prlv De Suez Eau France,-21.42
2018-05-11,Prlv De Suez Eau France,-21.42
2018-06-11,Prlv De Suez Eau France,-21.42
2018-09-10,Prlv De Suez Eau France,-21.42
2018-10-15,CB Etranger Netflix,-12.96
2019-01-10,CB Etranger Netflix,-12.96
2019-02-08,CB Etranger Netflix,-12.96
2019-05-09,CB Etranger Netflix,-12.96
2018-07-16,CB Etranger Netflix,-12.84
2017-10-10,CB Etranger Netflix,-12.6
2017-12-11,CB Etranger Netflix,-12.6
2017-03-10,CB Etranger Netflix,-12.48
2017-04-10,CB Etranger Netflix,-12.48
2017-08-10,CB Etranger Netflix,-12.48
2017-01-10,CB Etranger Netflix,-12.36
2016-07-11,CB Etranger Netflix,-12.24
2018-11-14,CB Etranger Netflix,-11.88
2019-03-08,CB Etranger Netflix,-11.88
2019-04-09,CB Etranger Netflix,-11.88
2018-05-16,CB Etranger Netflix,-11.77
2018-06-14,CB Etranger Netflix,-11.77
2018-08-14,CB Etranger Netflix,-11.77
2017-11-13,CB Etranger Netflix,-11.55
2018-01-15,CB Etranger Netflix,-11.55
2017-05-10,CB Etranger Netflix,-11.44
2017-06-12,CB Etranger Netflix,-11.44
2017-07-10,CB Etranger Netflix,-11.44
2016-08-10,CB Etranger Netflix,-11.33
2016-10-10,CB Etranger Netflix,-11.33
2016-11-10,CB Etranger Netflix,-11.33
2016-12-12,CB Etranger Netflix,-11.33
2016-04-11,CB Etranger Netflix,-11.22
2016-06-13,CB Etranger Netflix,-11.22
2018-09-14,CB Etranger Netflix,-10.8
2018-12-14,CB Etranger Netflix,-10.8
2019-06-06,CB Etranger Netflix,-10.8
2018-02-14,CB Etranger Netflix,-10.7
2018-03-14,CB Etranger Netflix,-10.7
2018-04-17,CB Etranger Netflix,-10.7
2017-09-11,CB Etranger Netflix,-10.5
2017-02-10,CB Etranger Netflix,-10.4
2016-09-12,CB Etranger Netflix,-10.3
2016-03-11,CB Etranger Netflix,-10.2
2016-05-10,CB Etranger Netflix,-10.2
